"Kapx","r","b","beta","init.size","Kexact","rcrit","p.colonization.from.one","poiss.imm","p.colonization.from.rcrit","p.colonization.to.rcrit","t.extinction.from.Kexact","t.extinction.from.rcrit"
50,1,6,9,1,40.2756668824971,3.72433311750293,0.0187160503655161,0.0258054045467243,0.23857046770484,0.145264425643372,1892.74864139017,434.932140345088
100,1,6,9,1,90.692104549907,3.30789545009305,0.0135525577562351,0.0195977839817819,0.132597638404207,0.197047477803618,2048618199.9463,575119616.624055
150,1,6,9,1,140.804069647078,3.19593035292171,0.01122817319876,0.0165341876229891,0.114946625112,0.198064835826475,1885597275.30191,558828648.726437
50,1.5,6,9,1,40.2756668824971,3.72433311750293,0.0141016818544415,0.0234127597653459,0.280385847263291,0.110934487691753,15420.7916939442,3690.60392898264
100,1.5,6,9,1,90.692104549907,3.30789545009305,0.0106585906566377,0.0187199277302679,0.153273844701304,0.159292108816351,2287583532.94924,682875748.959153
150,1.5,6,9,1,140.804069647078,3.19593035292171,0.00892455152634345,0.0160462725915197,0.135288618534982,0.160724916944325,1853620637.81843,587236985.091151
50,0.5,7,10.5,1,38.4484512566783,4.55154874332171,0.0220178520941064,0.0254005943130242,0.21923150101373,0.145248459317638,150.300603351061,38.7759106227791
100,0.5,7,10.5,1,89.0705297124666,3.92947028753343,0.0142728068054572,0.017135032165387,0.130378280420895,0.181533667647431,267485.541424143,52948.1248147392
150,0.5,7,10.5,1,139.2292403619,3.77075963810017,0.0116668722986221,0.0141784334894747,0.111904721065229,0.182110871246575,1194491081.9133,252936025.035926
50,1,7,10.5,1,38.4484512566783,4.55154874332171,0.0155403329728029,0.0212466742642789,0.268202420870458,0.10681652962396,638.415990018934,173.148378176604
100,1,7,10.5,1,89.0705297124666,3.92947028753343,0.0113071344296578,0.0161613124220279,0.168663769320619,0.140497409215983,1115202064.38122,251874484.858976
150,1,7,10.5,1,139.2292403619,3.77075963810017,0.00939993932562555,0.0136543674145115,0.149140325914729,0.141618385746969,1838936099.72441,444959308.582014
50,1.5,7,10.5,1,38.4484512566783,4.55154874332171,0.0106299718247335,0.0176223516350873,0.312124741217163,0.0749214590006495,3077.35685418218,868.258710940255
100,1.5,7,10.5,1,89.0705297124666,3.92947028753343,0.00824552123927165,0.014353741131555,0.198520645620863,0.104610009912369,2329072568.19961,528264676.656
150,1.5,7,10.5,1,139.2292403619,3.77075963810017,0.00695499424117813,0.012349927061522,0.179799177576927,0.106139683556777,1861161001.61446,456406112.275848
50,0.5,8,12,1,36.52417469626,5.47582530373998,0.0201214334144795,0.0230788497827014,0.197933084641863,0.141722885219449,102.225191100279,31.1499287288059
100,0.5,8,12,1,87.424630354416,4.57536964558404,0.0129096211972657,0.0153876238801838,0.155082998301138,0.143650669037478,104316.363012318,25421.2852763219
