"number.immigrants","p.establish","Kapx","r","b","beta","init.size","Kexact","rcrit"
"8",0.0980529098300418,150,1,8,16,0.5,132.975801729385,9.02419827061534
"1",0.000809839446724029,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"2",0.00265213797560535,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"3",0.00623536924693499,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"4",0.0123913601039859,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"5",0.0219608168059832,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"6",0.0356842655127285,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"7",0.054126290668652,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"8",0.0776377052734338,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"9",0.106345495019624,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"10",0.140157615389052,100,1,9,18,0.5,79.7089169661946,11.2910830338054
"1",0.000736395836832188,150,1,9,18,0.5,130.668513360395,10.3314866396053
"2",0.00241731882166699,150,1,9,18,0.5,130.668513360395,10.3314866396053
"3",0.00569614276673697,150,1,9,18,0.5,130.668513360395,10.3314866396053
"4",0.0113492447470423,150,1,9,18,0.5,130.668513360395,10.3314866396053
"5",0.0201850549564916,150,1,9,18,0.5,130.668513360395,10.3314866396053
"6",0.0329638471216578,150,1,9,18,0.5,130.668513360395,10.3314866396053
"7",0.0503471710878333,150,1,9,18,0.5,130.668513360395,10.3314866396053
"8",0.072873088806861,150,1,9,18,0.5,130.668513360395,10.3314866396053
"9",0.100942005071926,150,1,9,18,0.5,130.668513360395,10.3314866396053
"1",0.00053650146123877,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"2",0.0017512936192524,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"3",0.00414264578271104,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"4",0.00834025893277967,100,1,10,20,0.5,77.0156211871642,12.9843788128358
"5",0.0150381833638144,100,1,10,20,0.5,77.0156211871642,12.9843788128358
