"Kapx","r","b","beta","init.size","Kexact","rcrit","p.colonization.from.one","poiss.imm","p.colonization.from.rcrit","p.colonization.to.rcrit","t.extinction.from.Kexact","t.extinction.from.rcrit"
100,1,5,10,0.5,89.4076365356005,5.59236346439948,0.00409309744573624,0.00711847843767622,0.194540011020812,0.0480757732072027,1417099.79578544,379556.367045892
150,1,5,10,0.5,139.628607910488,5.37139208951224,0.00341124992324434,0.00599250868687365,0.121704913838017,0.0620101744271408,1486876784.29462,433004175.604487
200,1,5,10,0.5,189.729333728484,5.27066627151642,0.00299334126795718,0.00528723541987453,0.109956312877189,0.0623694238939853,1281966665.16063,387696721.048337
250,1,5,10,0.5,239.787041057399,5.21295894260101,0.00269830657879894,0.00478310932677488,0.101054804320004,0.0625848541258596,1146455461.67433,354275919.003026
50,1,6,12,0.5,35.5646599662505,8.43534003374946,0.00375994835290215,0.00644004591874536,0.265471058844964,0.024515652992586,51.5400521809053,19.6335968868676
75,1,6,12,0.5,61.7075357208256,7.29246427917442,0.00302788584452795,0.00527416990234551,0.20048649337389,0.0314989015167512,1971.19147159521,606.24688336372
100,1,6,12,0.5,87.1123422402632,6.88765775973685,0.00272491357397563,0.00478233446709801,0.193029522551125,0.0321961690703456,263253.211603719,68947.7973908697
150,1,6,12,0.5,137.452272687814,6.54772731218571,0.00231432558962231,0.00409373803734628,0.17642181057517,0.0328892037902679,1394916234.58452,408294994.896768
200,1,6,12,0.5,187.603531939986,6.39646806001436,0.00203703546212534,0.00361891472396632,0.116025725757231,0.0414733683120295,1297074323.51683,398705510.514878
250,1,6,12,0.5,237.689238911837,6.31076108816343,0.00184361854379927,0.00328440118402801,0.10724966908088,0.041684906136632,1159014388.9829,366265161.085992
50,1,7,14,0.5,32.0948100502085,10.9051899497915,0.00262313868069016,0.00455162070896021,0.364176681634264,0.0116057055434391,30.1228378007017,14.0257534701767
75,1,7,14,0.5,59.1197133741609,8.88028662583906,0.00200777974246678,0.00352823598126263,0.244177778623315,0.0174809847069983,627.508477031362,176.434421094937
100,1,7,14,0.5,84.7393776099978,8.26062239000222,0.00182028224811481,0.00321861088025099,0.189656890223513,0.0217978402075532,57188.6495249598,18662.9112459955
150,1,7,14,0.5,135.235782728386,7.76421727161421,0.00157703391852152,0.00280570189525794,0.176976956350668,0.0224491383046826,958348012.286364,277745673.41221
200,1,7,14,0.5,185.450829113618,7.54917088638241,0.00140454297094499,0.00250725461485178,0.164625611315079,0.0227733039127797,1306421494.77348,402772954.984244
